Ranking,Title,Release Date,World Sales
450,Grown Ups 2 (2013),7/11/2013,246984278
453,Alvin and the Chipmunks: Chipwrecked (2011),12/14/2011,342695435
455,The Wolverine (2013),7/24/2013,414828246
458,Hulk (2003),6/19/2003,245285165
459,Silver Linings Playbook (2012),11/16/2012,236412453
460,Minority Report (2002),6/20/2002,358372926
461,Fantastic 4: Rise of the Silver Surfer (2007),6/13/2007,301913131
462,The Last Airbender (2010),7/1/2010,319713881
464,Lara Croft: Tomb Raider (2001),6/15/2001,274703340
467,Lethal Weapon 4 (1998),7/10/1998,285444603
468,Get Smart (2008),6/19/2008,230685453
471,Transformers: The Last Knight (2017),6/21/2017,605425157
472,American Gangster (2007),11/2/2007,269755430
475,The Nutty Professor (1996),6/28/1996,273961019
477,Ghostbusters (2016),7/11/2016,229147509
478,Kingsman: The Secret Service (2014),1/30/2015,414351546
480,"Crouching Tiger, Hidden Dragon (2000)",12/8/2000,213525736
482,Into the Woods (2014),12/24/2014,212902372
484,Enchanted (2007),11/21/2007,340487836
485,The Curious Case of Benjamin Button (2008),12/25/2008,335802786
486,Central Intelligence (2016),6/15/2016,216972543
487,Anchorman 2: The Legend Continues (2013),12/18/2013,173649931
489,Bumblebee (2018),12/19/2018,467989645
490,Dumb and Dumber (1994),12/16/1994,247275374
491,2 Fast 2 Furious (2003),6/5/2003,236350661
492,My Best Friend's Wedding (1997),6/20/1997,299288605
493,Super 8 (2011),6/9/2011,260095986
494,The World Is Not Enough (1999),11/19/1999,361832400
495,Sleepless in Seattle (1993),6/25/1993,227927165
496,Lucy (2014),7/25/2014,458863600
497,The Legend of Tarzan (2016),6/29/2016,356700357
498,Bee Movie (2007),11/1/2007,293514336
501,Mr. Deeds (2002),6/28/2002,171269535
504,Ocean's Twelve (2004),12/9/2004,362744280
506,Charlie's Angels (2000),11/3/2000,264105545
509,Lone Survivor (2013),12/25/2013,154802912
512,Life of Pi (2012),11/21/2012,609016565
513,The Fault in Our Stars (2014),6/4/2014,307166834
515,The Devil Wears Prada (2006),6/30/2006,326706115
516,Something's Gotta Give (2003),12/12/2003,265328738
519,City Slickers (1991),6/7/1991,179033791
521,Nutty Professor II: The Klumps (2000),7/28/2000,166339890
524,Clear and Present Danger (1994),8/5/1994,215887717
528,The Bourne Identity (2002),6/14/2002,214034224
530,Superbad (2007),8/17/2007,170812526
531,Speed (1994),6/10/1994,350448145
533,Mamma Mia! Here We Go Again (2018),7/18/2018,402254384
534,Inglourious Basterds (2009),8/19/2009,321457747
535,Seabiscuit (2003),7/25/2003,148336445
537,Four Christmases (2008),11/26/2008,164112721
538,I Now Pronounce You Chuck & Larry (2007),7/20/2007,187134117
539,The Mask (1994),7/29/1994,351583407
541,Hook (1991),12/11/1991,300854823
543,G-Force (2009),7/23/2009,292817898
544,Total Recall (1990),6/1/1990,261317921
545,The Other Guys (2010),8/6/2010,170458922
546,Fahrenheit 9/11 (2004),6/23/2004,222446882
547,Back to the Future Part II (1989),11/22/1989,332500002
550,The Break-Up (2006),6/2/2006,205668210
551,A Series of Unfortunate Events (2004),12/16/2004,211468235
553,Salt (2010),7/21/2010,293503354
556,Ford v Ferrari (2019),11/13/2019,225508210
557,Big Momma's House (2000),6/2/2000,173959438
558,Die Hard 2 (1990),7/6/1990,240031274
559,Horrible Bosses (2011),7/7/2011,209838559
564,S.W.A.T. (2003),8/8/2003,207725639
565,The Wolf of Wall Street (2013),12/25/2013,392000694
566,8 Mile (2002),11/8/2002,242875078
568,Lee Daniels' The Butler (2013),8/16/2013,177313795
569,Green Lantern (2011),6/15/2011,219851172
571,You've Got Mail (1998),12/18/1998,250821495
574,Creed II (2018),11/21/2018,214215889
575,District 9 (2009),8/13/2009,210888950
576,Unbroken (2014),12/25/2014,161459297
578,Girls Trip (2017),7/21/2017,140552359
581,Dodgeball: A True Underdog Story (2004),6/18/2004,168423227
582,The Village (2004),8/13/2003,256697520
583,Bolt (2008),11/21/2008,309979994
585,Wild Wild West (1999),6/30/1999,222104681
586,Night at the Museum: Secret of the Tomb (2014),12/17/2014,363204635
587,Magic Mike (2012),6/28/2012,167739961
588,The Addams Family (1991),11/22/1991,191502426
589,The Patriot (2000),6/28/2000,215294342
590,Bad Moms (2016),7/28/2016,183936074
591,The Bourne Legacy (2012),8/8/2012,276144750
593,Dr. Dolittle 2 (2001),6/22/2001,176104344
594,It's Complicated (2009),12/23/2009,219103655
596,Face/Off (1997),6/27/1997,245676146
598,Twins (1988),12/9/1988,216614388
599,Spy Kids 3-D: Game Over (2003),7/25/2003,197101678
600,Enemy of the State (1998),11/20/1998,250849789
602,The Last Samurai (2003),12/5/2003,454627263
603,Glass (2019),1/16/2019,246999039
606,Tropic Thunder (2008),8/13/2008,195702963
610,Fun with Dick and Jane (2005),12/21/2005,204681899
611,Freaky Friday (2003),8/6/2003,160846332
612,Trainwreck (2015),7/17/2015,140795793
613,Bedtime Stories (2008),12/24/2008,212874864
615,Creed (2015),11/25/2015,173567581
617,The 40-Year-Old Virgin (2005),8/19/2005,177378645
620,Black Hawk Down (2001),12/28/2001,172989651
621,Terms of Endearment (1983),11/23/1983,108423749
623,The Upside (2017),1/10/2019,125856180
624,The Princess Diaries (2001),8/3/2001,165335153
625,Superman II (1980),6/19/1981,108185706
626,Little Women (2019),12/25/2019,216601214
630,Baby Driver (2017),6/28/2017,226945087
631,A League of Their Own (1992),7/1/1992,132440069
635,Batman & Robin (1997),6/20/1997,238235719
638,Black Swan (2010),12/3/2010,329398046
640,Chicken Run (2000),6/23/2000,224834564
641,Miss Congeniality (2000),12/22/2000,212742720
650,Interview with the Vampire: The Vampire Chronicles (1994),11/11/1994,223664608
651,George of the Jungle (1997),7/18/1997,174463257
653,Pitch Perfect 3 (2017),12/21/2017,185400345
655,American Wedding (2003),8/1/2003,232722935
656,Road to Perdition (2002),7/12/2002,181001478
657,The Princess and the Frog (2009),11/25/2009,267045765
658,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),12/2/2010,415686217
660,Daddy's Home 2 (2017),11/9/2017,180613824
662,Journey 2: The Mysterious Island (2012),1/19/2012,335260290
663,The Mule (2018),12/14/2018,174804407
664,Dick Tracy (1990),6/15/1990,162738726
665,Rise of the Guardians (2012),11/21/2012,306941670
667,Independence Day: Resurgence (2016),6/22/2016,389681935
668,The Expendables (2010),8/12/2010,274470394
669,Scream (1996),12/20/1996,173046663
671,Murder on the Orient Express (2017),11/3/2017,352794081
672,The General's Daughter (1999),6/18/1999,149705852
673,The Aviator (2004),12/17/2004,213719942
674,American Pie (1999),7/9/1999,235483004
676,The Girl with the Dragon Tattoo (2011),12/21/2011,232617430
677,The Mummy: Tomb of the Dragon Emperor (2008),7/30/2008,403449830
678,The Conjuring 2 (2016),6/8/2016,321788219
680,In the Line of Fire (1993),7/9/1993,176997168
681,Annabelle: Creation (2017),8/3/2017,306515884
682,The Equalizer 2 (2018),7/18/2018,190400157
684,Pacific Rim (2013),7/11/2013,411002906
685,Journey to the Center of the Earth (2008),7/10/2008,244232688
686,Gone in 60 Seconds (2000),6/9/2000,237202299
690,This Is the End (2013),6/12/2013,126041322
692,The Prince of Egypt (1998),12/18/1998,218613188
693,Scream 2 (1997),12/12/1997,172363301
694,Eraser (1996),6/21/1996,242295562
697,The Cat in the Hat (2003),11/21/2003,133960541
698,Con Air (1997),6/6/1997,224012234
699,Sleepy Hollow (1999),11/19/1999,206071502
701,Collateral (2004),8/5/2004,220239925
702,Contact (1997),7/11/1997,171120329
703,Charlie's Angels: Full Throttle (2003),6/26/2003,259175788
706,Vanilla Sky (2001),12/14/2001,203388341
708,Arrival (2016),11/10/2016,203388186
709,Due Date (2010),11/3/2010,211780824
710,Jumanji (1995),12/15/1995,262821940
711,The Rugrats Movie (1998),11/20/1998,140894675
712,Million Dollar Baby (2004),12/15/2004,216763646
714,Step Brothers (2008),7/25/2008,128108211
715,Evan Almighty (2007),6/21/2007,174440724
718,Shakespeare in Love (1998),12/11/1998,289317794
719,Bad Teacher (2011),6/17/2011,216197492
720,Yogi Bear (2010),12/17/2010,203509374
721,Cowboys & Aliens (2011),7/29/2011,174822325
724,The Hunchback of Notre Dame (1996),6/21/1996,325338851
726,You Don't Mess with the Zohan (2008),6/5/2008,204313400
727,Passengers (2016),12/21/2016,303144152
729,Christopher Robin (2018),8/1/2018,197744377
730,Hercules (1997),6/15/1997,252712101
732,The Green Hornet (2011),1/12/2011,227817248
735,Yes Man (2008),12/18/2008,223241637
736,Sausage Party (2016),8/11/2016,140705322
737,Inspector Gadget (1999),7/23/1999,134403112
738,Public Enemies (2009),6/24/2009,214104620
740,Schindler's List (1993),12/15/1993,322161245
742,The Others (2001),8/10/2001,209947037
743,Legally Blonde (2001),7/13/2001,141774679
746,Zero Dark Thirty (2012),12/19/2012,132820716
748,Cold Mountain (2003),12/25/2003,173013509
751,The Princess Diaries 2: Royal Engagement (2004),8/11/2004,134734481
753,Unbreakable (2000),11/22/2000,248118121
754,The Book of Eli (2010),1/14/2010,157107755
758,Julie & Julia (2009),8/6/2009,129540522
759,The Mask of Zorro (1998),7/17/1998,250288523
760,Maid in Manhattan (2002),12/13/2002,154906693
762,Master and Commander: The Far Side of the World (2003),11/14/2003,211622535
763,Flight (2012),11/2/2012,161772375
764,The Fighter (2010),11/20/2009,129190869
765,America's Sweethearts (2001),7/20/2001,138307673
767,The Bucket List (2007),12/25/2007,175372502
770,Cats & Dogs (2001),7/4/2001,200687492
771,Two Weeks Notice (2002),12/20/2002,199043471
773,Elysium (2013),8/8/2013,286140700
784,Kindergarten Cop (1990),12/22/1990,201957688
786,The Haunting (1999),7/23/1999,177311151
788,Ride Along 2 (2016),1/15/2015,124608438
789,Stepmom (1998),12/25/1998,159710793
793,Prince of Persia: The Sands of Time (2010),7/16/2009,336365676
797,"Me, Myself & Irene (2000)",6/23/2000,149270999
800,Space Cowboys (2000),8/4/2000,128884132
804,Planes (2013),8/9/2013,239258712
805,"Legally Blonde 2: Red, White & Blonde (2003)",7/2/2003,124914842
807,Terminator Genisys (2015),6/25/2015,440603537
809,The Emperor's New Groove (2000),12/15/2000,169661687
810,The Lone Ranger (2013),7/3/2013,260502115
811,Taken 3 (2014),1/1/2015,326479141
812,Don't Breathe (2016),8/25/2016,157761002
818,The Muppets (2011),11/23/2011,165184237
821,Waterworld (1995),7/28/1995,264218220
823,Along Came Polly (2004),1/16/2004,178311729
827,Pineapple Express (2008),8/6/2008,101624843
829,Sisters (2015),12/18/2015,105011053
831,The Naked Gun 2½: The Smell of Fear (1991),6/28/1991,86930411
834,Dumb and Dumber To (2014),11/12/2014,169837010
836,The Emoji Movie (2017),7/27/2017,217776646
838,Annie (2014),12/17/2014,136853506
840,Spy Kids 2: Island of Lost Dreams (2002),8/7/2002,119723358
843,Pokémon: The First Movie - Mewtwo Strikes Back (1998),11/10/1999,163644662
845,The SpongeBob SquarePants Movie (2004),11/19/2004,141067127
848,Anchorman: The Legend of Ron Burgundy (2004),7/9/2004,90709367
851,Green Book (2018),11/16/2018,321752656
852,The Expendables 2 (2012),8/15/2012,314975955
855,Tammy (2014),7/2/2014,100375432
857,Ferdinand (2017),12/13/2017,296069199
858,"Crazy, Stupid, Love. (2011)",7/28/2011,145051197
862,Atlantis: The Lost Empire (2001),6/8/2001,186053725
866,Penguins of Madagascar (2014),11/14/2014,373515621
867,Die Hard (1988),7/15/1988,141603197
868,Up in the Air (2009),12/4/2009,166842739
873,Immortals (2011),11/10/2011,226904017
876,Patriot Games (1992),6/5/1992,178051587
877,Saving Mr. Banks (2013),11/29/2013,117867984
879,Good Boys (2019),8/14/2019,111037232
880,Valkyrie (2008),12/25/2008,201545517
881,Brokeback Mountain (2005),12/9/2005,178062759
882,Turbo (2013),7/10/2013,282570682
883,Disclosure (1994),12/9/1994,214015089
884,Charlotte's Web (2006),12/7/2006,148963822
886,Are We There Yet? (2005),1/21/2005,97918663
887,Freddy vs. Jason (2003),8/14/2003,116632628
888,Star Trek: The Motion Picture (1979),12/7/1979,82604699
892,Bram Stoker's Dracula (1992),11/13/1992,215862692
893,Let's Be Cops (2014),8/13/2014,138224951
895,Beowulf (2007),11/14/2007,196393745
898,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),6/2/2016,245623848
899,The Post (2017),12/22/2017,180419276
904,Unstoppable (2010),11/10/2010,167805466
906,Ted 2 (2015),6/19/2015,215863606
907,The Talented Mr. Ripley (1999),12/25/1999,128799509
909,Snow Dogs (2002),1/18/2002,115035090
913,The Notebook (2004),6/25/2004,117815157
914,Jimmy Neutron: Boy Genius (2001),12/21/2001,102992536
915,Eat Pray Love (2010),8/13/2010,204594016
917,Zookeeper (2011),7/6/2011,169852759
