Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
101,Harry Potter and the Goblet of Fire (2005),11/16/2005,"$290,417,905.00 ","$606,260,335.00 ","$896,678,241.00 "
102,Home Alone (1990),11/16/1990,"$285,761,243.00 ","$190,923,432.00 ","$476,684,675.00 "
103,The Hunger Games: Mockingjay - Part 2 (2015),11/18/2015,"$281,723,902.00 ","$376,620,235.00 ","$658,344,137.00 "
105,The Twilight Saga: Breaking Dawn - Part 1 (2011),11/16/2011,"$281,287,133.00 ","$430,918,723.00 ","$712,205,856.00 "
106,Meet the Fockers (2004),12/22/2004,"$279,261,160.00 ","$243,396,776.00 ","$522,657,936.00 "
107,The Hangover (2009),6/5/2009,"$277,322,503.00 ","$191,988,333.00 ","$469,310,836.00 "
109,The Grinch (2018),11/7/2018,"$271,094,731.00 ","$241,474,088.00 ","$512,568,819.00 "
110,Sing (2016),12/2/2016,"$270,448,425.00 ","$363,759,959.00 ","$634,208,384.00 "
113,Despicable Me 3 (2017),6/14/2017,"$264,624,300.00 ","$770,175,831.00 ","$1,034,800,131.00 "
114,Harry Potter and the Chamber of Secrets (2002),11/14/2002,"$262,450,136.00 ","$617,152,229.00 ","$879,602,366.00 "
115,The Amazing Spider-Man (2012),6/28/2012,"$262,030,663.00 ","$495,900,000.00 ","$757,930,663.00 "
116,The Incredibles (2004),11/5/2004,"$261,441,092.00 ","$370,165,961.00 ","$631,607,053.00 "
117,Jaws (1975),6/20/1975,"$260,758,300.00 ","$210,653,000.00 ","$471,411,300.00 "
118,How the Grinch Stole Christmas (2000),11/17/2000,"$260,465,005.00 ","$85,108,027.00 ","$345,573,032.00 "
123,I Am Legend (2007),12/12/2007,"$256,393,010.00 ","$329,017,042.00 ","$585,410,052.00 "
124,The Blind Side (2009),11/20/2009,"$255,959,475.00 ","$53,248,834.00 ","$309,208,309.00 "
127,Despicable Me (2010),7/8/2010,"$251,513,985.00 ","$291,600,000.00 ","$543,113,985.00 "
128,Batman (1989),6/23/1989,"$251,348,343.00 ","$160,160,000.00 ","$411,508,343.00 "
130,Men in Black (1997),7/2/1997,"$250,690,539.00 ","$338,700,000.00 ","$589,390,539.00 "
133,Indiana Jones and the Raiders of the Lost Ark (1981),6/12/1981,"$248,159,971.00 ","$141,766,000.00 ","$389,925,971.00 "
134,Toy Story 2 (1999),11/19/1999,"$245,852,179.00 ","$251,523,202.00 ","$497,375,381.00 "
135,Transformers: Age of Extinction (2014),6/25/2014,"$245,439,076.00 ","$858,614,996.00 ","$1,104,054,072.00 "
136,Cars (2006),6/8/2006,"$244,082,982.00 ","$217,908,885.00 ","$461,991,867.00 "
137,Ghostbusters (1984),6/8/1984,"$243,578,797.00 ","$53,000,000.00 ","$296,578,797.00 "
145,Brave (2012),6/21/2012,"$237,283,207.00 ","$301,700,000.00 ","$538,983,207.00 "
148,War of the Worlds (2005),6/29/2005,"$234,280,354.00 ","$369,592,765.00 ","$603,873,119.00 "
149,Fantastic Beasts and Where to Find Them (2016),11/16/2016,"$234,037,575.00 ","$580,006,426.00 ","$814,044,001.00 "
151,Cast Away (2000),12/22/2000,"$233,632,142.00 ","$196,000,000.00 ","$429,632,142.00 "
158,Signs (2002),8/2/2002,"$227,966,634.00 ","$180,281,283.00 ","$408,247,917.00 "
159,Hancock (2008),7/2/2008,"$227,946,274.00 ","$401,497,154.00 ","$629,443,428.00 "
160,The Bourne Ultimatum (2007),8/3/2007,"$227,471,070.00 ","$216,628,965.00 ","$444,100,035.00 "
162,Rush Hour 2 (2001),8/3/2001,"$226,164,286.00 ","$121,161,516.00 ","$347,325,802.00 "
165,WALL·E (2008),6/26/2008,"$223,808,164.00 ","$297,503,726.00 ","$521,311,890.00 "
167,Mission: Impossible - Fallout (2018),7/25/2018,"$220,159,104.00 ","$571,498,294.00 ","$791,657,398.00 "
169,Alvin and the Chipmunks: The Squeakquel (2009),12/21/2009,"$219,614,612.00 ","$223,525,393.00 ","$443,140,005.00 "
170,Mrs. Doubtfire (1993),11/24/1993,"$219,195,243.00 ","$222,090,952.00 ","$441,286,195.00 "
171,Beauty and the Beast (1991),11/15/1991,"$218,967,620.00 ","$186,043,788.00 ","$424,967,620.00 "
172,Ted (2012),6/29/2012,"$218,815,487.00 ","$330,552,828.00 ","$549,368,315.00 "
173,King Kong (2005),12/14/2005,"$218,080,025.00 ","$338,826,353.00 ","$556,906,378.00 "
174,Ghost (1990),7/13/1990,"$217,631,306.00 ","$288,072,251.00 ","$505,703,557.00 "
177,Aladdin (1992),11/13/1992,"$217,350,219.00 ","$286,700,000.00 ","$504,050,219.00 "
178,Alvin and the Chipmunks (2007),12/12/2007,"$217,326,974.00 ","$148,025,572.00 ","$365,352,546.00 "
179,Saving Private Ryan (1998),7/24/1998,"$217,049,603.00 ","$265,300,000.00 ","$482,349,603.00 "
182,Madagascar 3: Europe's Most Wanted (2012),6/6/2012,"$216,391,482.00 ","$530,529,792.00 ","$746,921,274.00 "
183,Kung Fu Panda (2008),6/5/2008,"$215,434,591.00 ","$416,311,606.00 ","$631,746,197.00 "
190,Austin Powers in Goldmember (2002),7/26/2002,"$213,307,889.00 ","$83,630,912.00 ","$296,938,801.00 "
193,Back to the Future (1985),7/3/1985,"$211,406,762.00 ","$170,500,000.00 ","$381,906,762.00 "
197,Mission: Impossible - Ghost Protocol (2011),12/14/2011,"$209,397,903.00 ","$485,315,477.00 ","$694,713,380.00 "
198,Wedding Crashers (2005),7/14/2005,"$209,255,921.00 ","$79,211,724.00 ","$288,467,645.00 "
199,Sherlock Holmes (2009),1/1/2009,"$209,028,679.00 ","$315,000,000.00 ","$524,028,679.00 "
200,Dawn of the Planet of the Apes (2014),7/9/2014,"$208,545,589.00 ","$502,098,977.00 ","$710,644,566.00 "
201,Batman Begins (2005),6/15/2005,"$206,852,432.00 ","$166,809,514.00 ","$373,661,946.00 "
202,Charlie and the Chocolate Factory (2005),7/14/2005,"$206,459,076.00 ","$268,509,687.00 ","$474,968,763.00 "
203,Ratatouille (2007),6/28/2007,"$206,445,654.00 ","$417,280,431.00 ","$623,726,085.00 "
205,Bad Boys for Life (2020),1/15/2020,"$206,305,244.00 ","$220,200,000.00 ","$426,505,244.00 "
206,Austin Powers: The Spy Who Shagged Me (1999),6/11/1999,"$206,040,086.00 ","$105,976,842.00 ","$312,016,928.00 "
207,Terminator 2: Judgment Day (1991),7/3/1991,"$205,881,154.00 ","$312,106,698.00 ","$520,881,154.00 "
209,World War Z (2013),6/19/2013,"$202,807,711.00 ","$337,648,165.00 ","$540,455,876.00 "
211,Armageddon (1998),7/1/1998,"$201,578,182.00 ","$352,131,606.00 ","$553,709,788.00 "
213,Ralph Breaks the Internet (2018),11/21/2018,"$201,091,711.00 ","$328,232,251.00 ","$529,323,962.00 "
214,Tangled (2010),11/24/2010,"$200,821,936.00 ","$391,640,880.00 ","$592,462,816.00 "
216,Superman Returns (2006),6/28/2006,"$200,081,192.00 ","$191,000,000.00 ","$391,081,192.00 "
220,Happy Feet (2006),11/17/2006,"$198,000,317.00 ","$186,335,791.00 ","$384,336,108.00 "
222,Ice Age: Dawn of the Dinosaurs (2009),6/29/2009,"$196,573,705.00 ","$690,113,112.00 ","$886,686,817.00 "
224,Mission: Impossible - Rogue Nation (2015),7/24/2015,"$195,042,377.00 ","$487,674,259.00 ","$682,716,636.00 "
225,Twilight (2008),11/20/2008,"$193,962,473.00 ","$214,467,942.00 ","$408,430,415.00 "
226,Men in Black II (2002),7/3/2002,"$193,735,288.00 ","$251,400,000.00 ","$445,135,288.00 "
228,22 Jump Street (2014),6/5/2014,"$191,719,337.00 ","$139,614,539.00 ","$331,333,876.00 "
