Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
450,Grown Ups 2 (2013),7/11/2013,"$133,668,525.00 ","$113,315,753.00 ","$246,984,278.00 "
453,Alvin and the Chipmunks: Chipwrecked (2011),12/14/2011,"$133,110,742.00 ","$209,584,693.00 ","$342,695,435.00 "
455,The Wolverine (2013),7/24/2013,"$132,556,852.00 ","$282,271,394.00 ","$414,828,246.00 "
458,Hulk (2003),6/19/2003,"$132,177,234.00 ","$113,107,931.00 ","$245,285,165.00 "
459,Silver Linings Playbook (2012),11/16/2012,"$132,092,958.00 ","$104,319,495.00 ","$236,412,453.00 "
460,Minority Report (2002),6/20/2002,"$132,072,926.00 ","$226,300,000.00 ","$358,372,926.00 "
461,Fantastic 4: Rise of the Silver Surfer (2007),6/13/2007,"$131,921,738.00 ","$169,991,393.00 ","$301,913,131.00 "
462,The Last Airbender (2010),7/1/2010,"$131,772,187.00 ","$187,941,694.00 ","$319,713,881.00 "
464,Lara Croft: Tomb Raider (2001),6/15/2001,"$131,168,070.00 ","$143,535,270.00 ","$274,703,340.00 "
467,Lethal Weapon 4 (1998),7/10/1998,"$130,444,603.00 ","$155,000,000.00 ","$285,444,603.00 "
468,Get Smart (2008),6/19/2008,"$130,319,208.00 ","$100,366,245.00 ","$230,685,453.00 "
471,Transformers: The Last Knight (2017),6/21/2017,"$130,168,683.00 ","$475,256,474.00 ","$605,425,157.00 "
472,American Gangster (2007),11/2/2007,"$130,164,645.00 ","$139,590,785.00 ","$269,755,430.00 "
475,The Nutty Professor (1996),6/28/1996,"$128,814,019.00 ","$145,147,000.00 ","$273,961,019.00 "
477,Ghostbusters (2016),7/11/2016,"$128,350,574.00 ","$100,796,935.00 ","$229,147,509.00 "
478,Kingsman: The Secret Service (2014),1/30/2015,"$128,261,724.00 ","$286,089,822.00 ","$414,351,546.00 "
480,"Crouching Tiger, Hidden Dragon (2000)",12/8/2000,"$128,078,872.00 ","$85,446,864.00 ","$213,525,736.00 "
482,Into the Woods (2014),12/24/2014,"$128,002,372.00 ","$84,900,000.00 ","$212,902,372.00 "
484,Enchanted (2007),11/21/2007,"$127,807,262.00 ","$212,680,574.00 ","$340,487,836.00 "
485,The Curious Case of Benjamin Button (2008),12/25/2008,"$127,509,326.00 ","$208,293,460.00 ","$335,802,786.00 "
486,Central Intelligence (2016),6/15/2016,"$127,440,871.00 ","$89,531,672.00 ","$216,972,543.00 "
487,Anchorman 2: The Legend Continues (2013),12/18/2013,"$127,352,707.00 ","$46,297,224.00 ","$173,649,931.00 "
489,Bumblebee (2018),12/19/2018,"$127,195,589.00 ","$340,794,056.00 ","$467,989,645.00 "
490,Dumb and Dumber (1994),12/16/1994,"$127,175,374.00 ","$120,100,000.00 ","$247,275,374.00 "
491,2 Fast 2 Furious (2003),6/5/2003,"$127,154,901.00 ","$109,195,760.00 ","$236,350,661.00 "
492,My Best Friend's Wedding (1997),6/20/1997,"$127,120,029.00 ","$172,168,576.00 ","$299,288,605.00 "
493,Super 8 (2011),6/9/2011,"$127,004,179.00 ","$133,091,807.00 ","$260,095,986.00 "
494,The World Is Not Enough (1999),11/19/1999,"$126,943,684.00 ","$234,888,716.00 ","$361,832,400.00 "
495,Sleepless in Seattle (1993),6/25/1993,"$126,808,165.00 ","$101,119,000.00 ","$227,927,165.00 "
496,Lucy (2014),7/25/2014,"$126,663,600.00 ","$332,200,000.00 ","$458,863,600.00 "
497,The Legend of Tarzan (2016),6/29/2016,"$126,643,061.00 ","$230,057,296.00 ","$356,700,357.00 "
498,Bee Movie (2007),11/1/2007,"$126,631,277.00 ","$166,883,059.00 ","$293,514,336.00 "
501,Mr. Deeds (2002),6/28/2002,"$126,293,452.00 ","$44,976,083.00 ","$171,269,535.00 "
504,Ocean's Twelve (2004),12/9/2004,"$125,544,280.00 ","$237,200,000.00 ","$362,744,280.00 "
506,Charlie's Angels (2000),11/3/2000,"$125,305,545.00 ","$138,800,000.00 ","$264,105,545.00 "
509,Lone Survivor (2013),12/25/2013,"$125,095,601.00 ","$29,707,311.00 ","$154,802,912.00 "
512,Life of Pi (2012),11/21/2012,"$124,987,023.00 ","$484,029,542.00 ","$609,016,565.00 "
513,The Fault in Our Stars (2014),6/4/2014,"$124,872,350.00 ","$182,294,484.00 ","$307,166,834.00 "
515,The Devil Wears Prada (2006),6/30/2006,"$124,740,460.00 ","$201,965,655.00 ","$326,706,115.00 "
516,Something's Gotta Give (2003),12/12/2003,"$124,728,738.00 ","$140,600,000.00 ","$265,328,738.00 "
519,City Slickers (1991),6/7/1991,"$124,033,791.00 ","$55,000,000.00 ","$179,033,791.00 "
521,Nutty Professor II: The Klumps (2000),7/28/2000,"$123,309,890.00 ","$43,030,000.00 ","$166,339,890.00 "
524,Clear and Present Danger (1994),8/5/1994,"$122,187,717.00 ","$93,700,000.00 ","$215,887,717.00 "
528,The Bourne Identity (2002),6/14/2002,"$121,661,683.00 ","$92,372,541.00 ","$214,034,224.00 "
530,Superbad (2007),8/17/2007,"$121,463,226.00 ","$49,349,300.00 ","$170,812,526.00 "
531,Speed (1994),6/10/1994,"$121,248,145.00 ","$229,200,000.00 ","$350,448,145.00 "
533,Mamma Mia! Here We Go Again (2018),7/18/2018,"$120,634,935.00 ","$281,619,449.00 ","$402,254,384.00 "
534,Inglourious Basterds (2009),8/19/2009,"$120,540,719.00 ","$200,917,028.00 ","$321,457,747.00 "
535,Seabiscuit (2003),7/25/2003,"$120,277,854.00 ","$28,058,591.00 ","$148,336,445.00 "
537,Four Christmases (2008),11/26/2008,"$120,146,040.00 ","$43,966,681.00 ","$164,112,721.00 "
538,I Now Pronounce You Chuck & Larry (2007),7/20/2007,"$120,059,556.00 ","$67,074,561.00 ","$187,134,117.00 "
539,The Mask (1994),7/29/1994,"$119,938,730.00 ","$231,644,677.00 ","$351,583,407.00 "
541,Hook (1991),12/11/1991,"$119,654,823.00 ","$181,200,000.00 ","$300,854,823.00 "
543,G-Force (2009),7/23/2009,"$119,436,770.00 ","$173,381,128.00 ","$292,817,898.00 "
544,Total Recall (1990),6/1/1990,"$119,412,921.00 ","$141,905,000.00 ","$261,317,921.00 "
545,The Other Guys (2010),8/6/2010,"$119,219,978.00 ","$51,238,944.00 ","$170,458,922.00 "
546,Fahrenheit 9/11 (2004),6/23/2004,"$119,194,771.00 ","$103,252,111.00 ","$222,446,882.00 "
547,Back to the Future Part II (1989),11/22/1989,"$119,000,002.00 ","$213,500,000.00 ","$332,500,002.00 "
550,The Break-Up (2006),6/2/2006,"$118,703,275.00 ","$86,964,935.00 ","$205,668,210.00 "
551,A Series of Unfortunate Events (2004),12/16/2004,"$118,634,549.00 ","$92,833,686.00 ","$211,468,235.00 "
553,Salt (2010),7/21/2010,"$118,311,368.00 ","$175,191,986.00 ","$293,503,354.00 "
556,Ford v Ferrari (2019),11/13/2019,"$117,624,357.00 ","$107,883,853.00 ","$225,508,210.00 "
557,Big Momma's House (2000),6/2/2000,"$117,559,438.00 ","$56,400,000.00 ","$173,959,438.00 "
558,Die Hard 2 (1990),7/6/1990,"$117,540,947.00 ","$122,490,327.00 ","$240,031,274.00 "
559,Horrible Bosses (2011),7/7/2011,"$117,538,559.00 ","$92,300,000.00 ","$209,838,559.00 "
564,S.W.A.T. (2003),8/8/2003,"$116,934,650.00 ","$90,790,989.00 ","$207,725,639.00 "
565,The Wolf of Wall Street (2013),12/25/2013,"$116,900,694.00 ","$275,100,000.00 ","$392,000,694.00 "
566,8 Mile (2002),11/8/2002,"$116,750,901.00 ","$126,124,177.00 ","$242,875,078.00 "
568,Lee Daniels' The Butler (2013),8/16/2013,"$116,632,095.00 ","$60,681,700.00 ","$177,313,795.00 "
569,Green Lantern (2011),6/15/2011,"$116,601,172.00 ","$103,250,000.00 ","$219,851,172.00 "
571,You've Got Mail (1998),12/18/1998,"$115,821,495.00 ","$135,000,000.00 ","$250,821,495.00 "
574,Creed II (2018),11/21/2018,"$115,715,889.00 ","$98,500,000.00 ","$214,215,889.00 "
575,District 9 (2009),8/13/2009,"$115,646,235.00 ","$95,242,715.00 ","$210,888,950.00 "
576,Unbroken (2014),12/25/2014,"$115,637,895.00 ","$45,821,402.00 ","$161,459,297.00 "
578,Girls Trip (2017),7/21/2017,"$115,171,585.00 ","$25,380,774.00 ","$140,552,359.00 "
581,Dodgeball: A True Underdog Story (2004),6/18/2004,"$114,326,736.00 ","$54,096,491.00 ","$168,423,227.00 "
582,The Village (2004),8/13/2003,"$114,197,520.00 ","$142,500,000.00 ","$256,697,520.00 "
583,Bolt (2008),11/21/2008,"$114,053,579.00 ","$195,926,415.00 ","$309,979,994.00 "
585,Wild Wild West (1999),6/30/1999,"$113,804,681.00 ","$108,300,000.00 ","$222,104,681.00 "
586,Night at the Museum: Secret of the Tomb (2014),12/17/2014,"$113,746,621.00 ","$249,458,014.00 ","$363,204,635.00 "
587,Magic Mike (2012),6/28/2012,"$113,721,571.00 ","$54,018,390.00 ","$167,739,961.00 "
588,The Addams Family (1991),11/22/1991,"$113,502,426.00 ","$78,000,000.00 ","$191,502,426.00 "
589,The Patriot (2000),6/28/2000,"$113,330,342.00 ","$101,964,000.00 ","$215,294,342.00 "
590,Bad Moms (2016),7/28/2016,"$113,257,297.00 ","$70,678,777.00 ","$183,936,074.00 "
591,The Bourne Legacy (2012),8/8/2012,"$113,203,870.00 ","$162,940,880.00 ","$276,144,750.00 "
593,Dr. Dolittle 2 (2001),6/22/2001,"$112,952,899.00 ","$63,151,445.00 ","$176,104,344.00 "
594,It's Complicated (2009),12/23/2009,"$112,735,375.00 ","$106,368,280.00 ","$219,103,655.00 "
596,Face/Off (1997),6/27/1997,"$112,276,146.00 ","$133,400,000.00 ","$245,676,146.00 "
598,Twins (1988),12/9/1988,"$111,938,388.00 ","$104,676,000.00 ","$216,614,388.00 "
599,Spy Kids 3-D: Game Over (2003),7/25/2003,"$111,761,982.00 ","$85,339,696.00 ","$197,101,678.00 "
600,Enemy of the State (1998),11/20/1998,"$111,549,836.00 ","$139,299,953.00 ","$250,849,789.00 "
602,The Last Samurai (2003),12/5/2003,"$111,127,263.00 ","$343,500,000.00 ","$454,627,263.00 "
603,Glass (2019),1/16/2019,"$111,048,468.00 ","$135,950,571.00 ","$246,999,039.00 "
606,Tropic Thunder (2008),8/13/2008,"$110,515,313.00 ","$85,187,650.00 ","$195,702,963.00 "
610,Fun with Dick and Jane (2005),12/21/2005,"$110,332,737.00 ","$94,349,162.00 ","$204,681,899.00 "
611,Freaky Friday (2003),8/6/2003,"$110,230,332.00 ","$50,616,000.00 ","$160,846,332.00 "
612,Trainwreck (2015),7/17/2015,"$110,212,700.00 ","$30,583,093.00 ","$140,795,793.00 "
613,Bedtime Stories (2008),12/24/2008,"$110,101,975.00 ","$102,772,889.00 ","$212,874,864.00 "
615,Creed (2015),11/25/2015,"$109,767,581.00 ","$63,800,000.00 ","$173,567,581.00 "
617,The 40-Year-Old Virgin (2005),8/19/2005,"$109,449,237.00 ","$67,929,408.00 ","$177,378,645.00 "
620,Black Hawk Down (2001),12/28/2001,"$108,638,745.00 ","$64,350,906.00 ","$172,989,651.00 "
621,Terms of Endearment (1983),11/23/1983,"$108,423,489.00 ",$260.00 ,"$108,423,749.00 "
623,The Upside (2017),1/10/2019,"$108,252,517.00 ","$17,603,663.00 ","$125,856,180.00 "
624,The Princess Diaries (2001),8/3/2001,"$108,248,956.00 ","$57,086,197.00 ","$165,335,153.00 "
625,Superman II (1980),6/19/1981,"$108,185,706.00 ","$108,185,706.00 ","$108,185,706.00 "
626,Little Women (2019),12/25/2019,"$108,101,214.00 ","$108,500,000.00 ","$216,601,214.00 "
630,Baby Driver (2017),6/28/2017,"$107,825,862.00 ","$119,119,225.00 ","$226,945,087.00 "
631,A League of Their Own (1992),7/1/1992,"$107,533,928.00 ","$24,906,141.00 ","$132,440,069.00 "
635,Batman & Robin (1997),6/20/1997,"$107,353,792.00 ","$130,881,927.00 ","$238,235,719.00 "
638,Black Swan (2010),12/3/2010,"$106,954,678.00 ","$222,443,368.00 ","$329,398,046.00 "
640,Chicken Run (2000),6/23/2000,"$106,834,564.00 ","$118,000,000.00 ","$224,834,564.00 "
641,Miss Congeniality (2000),12/22/2000,"$106,807,667.00 ","$105,935,053.00 ","$212,742,720.00 "
650,Interview with the Vampire: The Vampire Chronicles (1994),11/11/1994,"$105,264,608.00 ","$118,400,000.00 ","$223,664,608.00 "
651,George of the Jungle (1997),7/18/1997,"$105,263,257.00 ","$69,200,000.00 ","$174,463,257.00 "
653,Pitch Perfect 3 (2017),12/21/2017,"$104,897,530.00 ","$80,502,815.00 ","$185,400,345.00 "
655,American Wedding (2003),8/1/2003,"$104,565,114.00 ","$128,157,821.00 ","$232,722,935.00 "
656,Road to Perdition (2002),7/12/2002,"$104,454,762.00 ","$76,546,716.00 ","$181,001,478.00 "
657,The Princess and the Frog (2009),11/25/2009,"$104,400,899.00 ","$162,644,866.00 ","$267,045,765.00 "
658,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),12/2/2010,"$104,386,950.00 ","$311,299,267.00 ","$415,686,217.00 "
660,Daddy's Home 2 (2017),11/9/2017,"$104,029,443.00 ","$76,584,381.00 ","$180,613,824.00 "
662,Journey 2: The Mysterious Island (2012),1/19/2012,"$103,860,290.00 ","$231,400,000.00 ","$335,260,290.00 "
663,The Mule (2018),12/14/2018,"$103,804,407.00 ","$71,000,000.00 ","$174,804,407.00 "
664,Dick Tracy (1990),6/15/1990,"$103,738,726.00 ","$59,000,000.00 ","$162,738,726.00 "
665,Rise of the Guardians (2012),11/21/2012,"$103,412,758.00 ","$203,528,912.00 ","$306,941,670.00 "
667,Independence Day: Resurgence (2016),6/22/2016,"$103,144,286.00 ","$286,537,649.00 ","$389,681,935.00 "
668,The Expendables (2010),8/12/2010,"$103,068,524.00 ","$171,401,870.00 ","$274,470,394.00 "
669,Scream (1996),12/20/1996,"$103,046,663.00 ","$70,000,000.00 ","$173,046,663.00 "
671,Murder on the Orient Express (2017),11/3/2017,"$102,826,543.00 ","$249,967,538.00 ","$352,794,081.00 "
672,The General's Daughter (1999),6/18/1999,"$102,705,852.00 ","$47,000,000.00 ","$149,705,852.00 "
673,The Aviator (2004),12/17/2004,"$102,610,330.00 ","$111,109,612.00 ","$213,719,942.00 "
674,American Pie (1999),7/9/1999,"$102,561,004.00 ","$132,922,000.00 ","$235,483,004.00 "
676,The Girl with the Dragon Tattoo (2011),12/21/2011,"$102,515,793.00 ","$130,101,637.00 ","$232,617,430.00 "
677,The Mummy: Tomb of the Dragon Emperor (2008),7/30/2008,"$102,491,776.00 ","$300,958,054.00 ","$403,449,830.00 "
678,The Conjuring 2 (2016),6/8/2016,"$102,470,008.00 ","$219,318,211.00 ","$321,788,219.00 "
680,In the Line of Fire (1993),7/9/1993,"$102,314,823.00 ","$74,682,345.00 ","$176,997,168.00 "
681,Annabelle: Creation (2017),8/3/2017,"$102,092,201.00 ","$204,423,683.00 ","$306,515,884.00 "
682,The Equalizer 2 (2018),7/18/2018,"$102,084,362.00 ","$88,315,795.00 ","$190,400,157.00 "
684,Pacific Rim (2013),7/11/2013,"$101,802,906.00 ","$309,200,000.00 ","$411,002,906.00 "
685,Journey to the Center of the Earth (2008),7/10/2008,"$101,704,370.00 ","$142,528,318.00 ","$244,232,688.00 "
686,Gone in 60 Seconds (2000),6/9/2000,"$101,648,571.00 ","$135,553,728.00 ","$237,202,299.00 "
690,This Is the End (2013),6/12/2013,"$101,470,202.00 ","$24,571,120.00 ","$126,041,322.00 "
692,The Prince of Egypt (1998),12/18/1998,"$101,413,188.00 ","$117,200,000.00 ","$218,613,188.00 "
693,Scream 2 (1997),12/12/1997,"$101,363,301.00 ","$71,000,000.00 ","$172,363,301.00 "
694,Eraser (1996),6/21/1996,"$101,295,562.00 ","$141,000,000.00 ","$242,295,562.00 "
697,The Cat in the Hat (2003),11/21/2003,"$101,149,285.00 ","$32,811,256.00 ","$133,960,541.00 "
698,Con Air (1997),6/6/1997,"$101,117,573.00 ","$122,894,661.00 ","$224,012,234.00 "
699,Sleepy Hollow (1999),11/19/1999,"$101,071,502.00 ","$105,000,000.00 ","$206,071,502.00 "
701,Collateral (2004),8/5/2004,"$101,005,703.00 ","$119,234,222.00 ","$220,239,925.00 "
702,Contact (1997),7/11/1997,"$100,920,329.00 ","$70,200,000.00 ","$171,120,329.00 "
703,Charlie's Angels: Full Throttle (2003),6/26/2003,"$100,830,111.00 ","$158,345,677.00 ","$259,175,788.00 "
706,Vanilla Sky (2001),12/14/2001,"$100,618,344.00 ","$102,769,997.00 ","$203,388,341.00 "
708,Arrival (2016),11/10/2016,"$100,546,139.00 ","$102,842,047.00 ","$203,388,186.00 "
709,Due Date (2010),11/3/2010,"$100,539,043.00 ","$111,241,781.00 ","$211,780,824.00 "
710,Jumanji (1995),12/15/1995,"$100,499,940.00 ","$162,322,000.00 ","$262,821,940.00 "
711,The Rugrats Movie (1998),11/20/1998,"$100,494,675.00 ","$40,400,000.00 ","$140,894,675.00 "
712,Million Dollar Baby (2004),12/15/2004,"$100,492,203.00 ","$116,271,443.00 ","$216,763,646.00 "
714,Step Brothers (2008),7/25/2008,"$100,468,793.00 ","$27,639,418.00 ","$128,108,211.00 "
715,Evan Almighty (2007),6/21/2007,"$100,462,298.00 ","$73,978,426.00 ","$174,440,724.00 "
718,Shakespeare in Love (1998),12/11/1998,"$100,317,794.00 ","$189,000,000.00 ","$289,317,794.00 "
719,Bad Teacher (2011),6/17/2011,"$100,292,856.00 ","$115,904,636.00 ","$216,197,492.00 "
720,Yogi Bear (2010),12/17/2010,"$100,246,011.00 ","$103,263,363.00 ","$203,509,374.00 "
721,Cowboys & Aliens (2011),7/29/2011,"$100,240,551.00 ","$74,581,774.00 ","$174,822,325.00 "
724,The Hunchback of Notre Dame (1996),6/21/1996,"$100,138,851.00 ","$225,200,000.00 ","$325,338,851.00 "
726,You Don't Mess with the Zohan (2008),6/5/2008,"$100,018,837.00 ","$104,294,563.00 ","$204,313,400.00 "
727,Passengers (2016),12/21/2016,"$100,014,699.00 ","$203,129,453.00 ","$303,144,152.00 "
729,Christopher Robin (2018),8/1/2018,"$99,215,042.00 ","$98,529,335.00 ","$197,744,377.00 "
730,Hercules (1997),6/15/1997,"$99,112,101.00 ","$153,600,000.00 ","$252,712,101.00 "
732,The Green Hornet (2011),1/12/2011,"$98,780,042.00 ","$129,037,206.00 ","$227,817,248.00 "
735,Yes Man (2008),12/18/2008,"$97,690,976.00 ","$125,550,661.00 ","$223,241,637.00 "
736,Sausage Party (2016),8/11/2016,"$97,685,686.00 ","$43,019,636.00 ","$140,705,322.00 "
737,Inspector Gadget (1999),7/23/1999,"$97,403,112.00 ","$37,000,000.00 ","$134,403,112.00 "
738,Public Enemies (2009),6/24/2009,"$97,104,620.00 ","$117,000,000.00 ","$214,104,620.00 "
740,Schindler's List (1993),12/15/1993,"$96,898,818.00 ","$225,262,427.00 ","$322,161,245.00 "
742,The Others (2001),8/10/2001,"$96,522,687.00 ","$113,424,350.00 ","$209,947,037.00 "
743,Legally Blonde (2001),7/13/2001,"$96,520,674.00 ","$45,254,005.00 ","$141,774,679.00 "
746,Zero Dark Thirty (2012),12/19/2012,"$95,720,716.00 ","$37,100,000.00 ","$132,820,716.00 "
748,Cold Mountain (2003),12/25/2003,"$95,636,509.00 ","$77,377,000.00 ","$173,013,509.00 "
751,The Princess Diaries 2: Royal Engagement (2004),8/11/2004,"$95,170,481.00 ","$39,564,000.00 ","$134,734,481.00 "
753,Unbreakable (2000),11/22/2000,"$95,011,339.00 ","$153,106,782.00 ","$248,118,121.00 "
754,The Book of Eli (2010),1/14/2010,"$94,835,059.00 ","$62,272,696.00 ","$157,107,755.00 "
758,Julie & Julia (2009),8/6/2009,"$94,125,426.00 ","$35,415,096.00 ","$129,540,522.00 "
759,The Mask of Zorro (1998),7/17/1998,"$94,095,523.00 ","$156,193,000.00 ","$250,288,523.00 "
760,Maid in Manhattan (2002),12/13/2002,"$94,011,225.00 ","$60,895,468.00 ","$154,906,693.00 "
762,Master and Commander: The Far Side of the World (2003),11/14/2003,"$93,927,920.00 ","$117,694,615.00 ","$211,622,535.00 "
763,Flight (2012),11/2/2012,"$93,772,375.00 ","$68,000,000.00 ","$161,772,375.00 "
764,The Fighter (2010),11/20/2009,"$93,617,009.00 ","$35,573,860.00 ","$129,190,869.00 "
765,America's Sweethearts (2001),7/20/2001,"$93,607,673.00 ","$44,700,000.00 ","$138,307,673.00 "
767,The Bucket List (2007),12/25/2007,"$93,466,502.00 ","$81,906,000.00 ","$175,372,502.00 "
770,Cats & Dogs (2001),7/4/2001,"$93,385,515.00 ","$107,301,977.00 ","$200,687,492.00 "
771,Two Weeks Notice (2002),12/20/2002,"$93,354,851.00 ","$105,688,620.00 ","$199,043,471.00 "
773,Elysium (2013),8/8/2013,"$93,050,117.00 ","$193,090,583.00 ","$286,140,700.00 "
784,Kindergarten Cop (1990),12/22/1990,"$91,457,688.00 ","$110,500,000.00 ","$201,957,688.00 "
786,The Haunting (1999),7/23/1999,"$91,411,151.00 ","$85,900,000.00 ","$177,311,151.00 "
788,Ride Along 2 (2016),1/15/2015,"$91,221,830.00 ","$33,386,608.00 ","$124,608,438.00 "
789,Stepmom (1998),12/25/1998,"$91,137,662.00 ","$68,573,131.00 ","$159,710,793.00 "
793,Prince of Persia: The Sands of Time (2010),7/16/2009,"$90,759,676.00 ","$245,606,000.00 ","$336,365,676.00 "
797,"Me, Myself & Irene (2000)",6/23/2000,"$90,570,999.00 ","$58,700,000.00 ","$149,270,999.00 "
800,Space Cowboys (2000),8/4/2000,"$90,464,773.00 ","$38,419,359.00 ","$128,884,132.00 "
804,Planes (2013),8/9/2013,"$90,288,712.00 ","$148,970,000.00 ","$239,258,712.00 "
805,"Legally Blonde 2: Red, White & Blonde (2003)",7/2/2003,"$90,186,328.00 ","$34,728,514.00 ","$124,914,842.00 "
807,Terminator Genisys (2015),6/25/2015,"$89,760,956.00 ","$350,842,581.00 ","$440,603,537.00 "
809,The Emperor's New Groove (2000),12/15/2000,"$89,636,687.00 ","$80,025,000.00 ","$169,661,687.00 "
810,The Lone Ranger (2013),7/3/2013,"$89,302,115.00 ","$171,200,000.00 ","$260,502,115.00 "
811,Taken 3 (2014),1/1/2015,"$89,256,424.00 ","$237,222,717.00 ","$326,479,141.00 "
812,Don't Breathe (2016),8/25/2016,"$89,217,875.00 ","$68,543,127.00 ","$157,761,002.00 "
818,The Muppets (2011),11/23/2011,"$88,631,237.00 ","$76,553,000.00 ","$165,184,237.00 "
821,Waterworld (1995),7/28/1995,"$88,246,220.00 ","$175,972,000.00 ","$264,218,220.00 "
823,Along Came Polly (2004),1/16/2004,"$88,097,164.00 ","$90,214,565.00 ","$178,311,729.00 "
827,Pineapple Express (2008),8/6/2008,"$87,341,380.00 ","$14,283,463.00 ","$101,624,843.00 "
829,Sisters (2015),12/18/2015,"$87,044,645.00 ","$17,966,408.00 ","$105,011,053.00 "
831,The Naked Gun 2½: The Smell of Fear (1991),6/28/1991,"$86,930,411.00 ","$86,930,411.00 ","$86,930,411.00 "
834,Dumb and Dumber To (2014),11/12/2014,"$86,208,010.00 ","$83,629,000.00 ","$169,837,010.00 "
836,The Emoji Movie (2017),7/27/2017,"$86,089,513.00 ","$131,687,133.00 ","$217,776,646.00 "
838,Annie (2014),12/17/2014,"$85,911,262.00 ","$50,942,244.00 ","$136,853,506.00 "
840,Spy Kids 2: Island of Lost Dreams (2002),8/7/2002,"$85,846,429.00 ","$33,876,929.00 ","$119,723,358.00 "
843,Pokémon: The First Movie - Mewtwo Strikes Back (1998),11/10/1999,"$85,744,662.00 ","$77,900,000.00 ","$163,644,662.00 "
845,The SpongeBob SquarePants Movie (2004),11/19/2004,"$85,417,988.00 ","$55,649,139.00 ","$141,067,127.00 "
848,Anchorman: The Legend of Ron Burgundy (2004),7/9/2004,"$85,288,303.00 ","$5,421,064.00 ","$90,709,367.00 "
851,Green Book (2018),11/16/2018,"$85,080,171.00 ","$236,672,485.00 ","$321,752,656.00 "
852,The Expendables 2 (2012),8/15/2012,"$85,028,192.00 ","$229,947,763.00 ","$314,975,955.00 "
855,Tammy (2014),7/2/2014,"$84,525,432.00 ","$15,850,000.00 ","$100,375,432.00 "
857,Ferdinand (2017),12/13/2017,"$84,410,380.00 ","$211,658,819.00 ","$296,069,199.00 "
858,"Crazy, Stupid, Love. (2011)",7/28/2011,"$84,351,197.00 ","$60,700,000.00 ","$145,051,197.00 "
862,Atlantis: The Lost Empire (2001),6/8/2001,"$84,056,472.00 ","$101,997,253.00 ","$186,053,725.00 "
866,Penguins of Madagascar (2014),11/14/2014,"$83,850,911.00 ","$289,664,710.00 ","$373,515,621.00 "
867,Die Hard (1988),7/15/1988,"$83,844,093.00 ","$57,759,104.00 ","$141,603,197.00 "
868,Up in the Air (2009),12/4/2009,"$83,823,381.00 ","$83,019,358.00 ","$166,842,739.00 "
873,Immortals (2011),11/10/2011,"$83,504,017.00 ","$143,400,000.00 ","$226,904,017.00 "
876,Patriot Games (1992),6/5/1992,"$83,351,587.00 ","$94,700,000.00 ","$178,051,587.00 "
877,Saving Mr. Banks (2013),11/29/2013,"$83,301,580.00 ","$34,566,404.00 ","$117,867,984.00 "
879,Good Boys (2019),8/14/2019,"$83,140,306.00 ","$27,896,926.00 ","$111,037,232.00 "
880,Valkyrie (2008),12/25/2008,"$83,077,833.00 ","$118,467,684.00 ","$201,545,517.00 "
881,Brokeback Mountain (2005),12/9/2005,"$83,043,761.00 ","$95,018,998.00 ","$178,062,759.00 "
882,Turbo (2013),7/10/2013,"$83,028,128.00 ","$199,542,554.00 ","$282,570,682.00 "
883,Disclosure (1994),12/9/1994,"$83,015,089.00 ","$131,000,000.00 ","$214,015,089.00 "
884,Charlotte's Web (2006),12/7/2006,"$82,985,708.00 ","$65,978,114.00 ","$148,963,822.00 "
886,Are We There Yet? (2005),1/21/2005,"$82,674,398.00 ","$15,244,265.00 ","$97,918,663.00 "
887,Freddy vs. Jason (2003),8/14/2003,"$82,622,655.00 ","$34,009,973.00 ","$116,632,628.00 "
888,Star Trek: The Motion Picture (1979),12/7/1979,"$82,604,699.00 ","$82,604,699.00 ","$82,604,699.00 "
892,Bram Stoker's Dracula (1992),11/13/1992,"$82,522,790.00 ","$133,339,902.00 ","$215,862,692.00 "
893,Let's Be Cops (2014),8/13/2014,"$82,390,774.00 ","$55,834,177.00 ","$138,224,951.00 "
895,Beowulf (2007),11/14/2007,"$82,280,579.00 ","$114,113,166.00 ","$196,393,745.00 "
898,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),6/2/2016,"$82,051,601.00 ","$163,572,247.00 ","$245,623,848.00 "
899,The Post (2017),12/22/2017,"$81,903,458.00 ","$98,515,818.00 ","$180,419,276.00 "
904,Unstoppable (2010),11/10/2010,"$81,562,942.00 ","$86,242,524.00 ","$167,805,466.00 "
906,Ted 2 (2015),6/19/2015,"$81,476,385.00 ","$134,387,221.00 ","$215,863,606.00 "
907,The Talented Mr. Ripley (1999),12/25/1999,"$81,298,265.00 ","$47,501,244.00 ","$128,799,509.00 "
909,Snow Dogs (2002),1/18/2002,"$81,172,560.00 ","$33,862,530.00 ","$115,035,090.00 "
913,The Notebook (2004),6/25/2004,"$81,001,787.00 ","$36,813,370.00 ","$117,815,157.00 "
914,Jimmy Neutron: Boy Genius (2001),12/21/2001,"$80,936,232.00 ","$22,056,304.00 ","$102,992,536.00 "
915,Eat Pray Love (2010),8/13/2010,"$80,574,010.00 ","$124,020,006.00 ","$204,594,016.00 "
917,Zookeeper (2011),7/6/2011,"$80,360,843.00 ","$89,491,916.00 ","$169,852,759.00 "
